Time,P634A,P634B,P634C,Q634A,Q634B,Q634C,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,Ptotal
689,0.979819505,1.769009141,2.259374911,0.522508498,3.852900257,2.146719792,0.402759167,1.135816992,3.188323845,0.536828337,1.117012217,1.861961037,7.717059373,7.717059373,0.1,0.599820219,0.239928087,0.439050428,0.239928087,0.282551968,0.239928087,0.282551968,0.239928087,0.599820219,0.239928087,0.439050428,0.239928087,0.282551968,0.239928087,0.282551968,0.239928087,0.599820219,0.239928087,0.439050428,0.239928087,0.282551968,0.239928087,0.282551968,0.239928087,0.599820219,0.239928087,0.439050428,0.239928087,0.282551968,0.239928087,0.282551968,0.239928087,0.199706447,0.199706447,0.199706447,0.199371905,37.64566331
690,0.97565248,1.866478093,2.259236411,0.575237467,3.964893555,2.147111042,0.43192718,1.130945499,3.188422595,0.533715777,1.041333962,1.861861537,7.719559373,7.719559373,0.1,0.599851319,0.239940527,0.439070128,0.239940527,0.282566618,0.239940527,0.282566618,0.239940527,0.599851319,0.239940527,0.439070128,0.239940527,0.282566618,0.239940527,0.282566618,0.239940527,0.599851319,0.239940527,0.439070128,0.239940527,0.282566618,0.239940527,0.282566618,0.239940527,0.599851319,0.239940527,0.439070128,0.239940527,0.282566618,0.239940527,0.282566618,0.239940527,0.199707459,0.199707459,0.199707459,0.199372914,37.72604994
691,0.926910287,2.162302775,2.259097911,0.625048919,3.79376862,2.147502292,0.473723689,1.112284354,3.188521345,0.494651589,0.968720302,1.861762037,7.722059373,7.722059373,0.1,0.599882419,0.239952967,0.439089828,0.239952967,0.282581268,0.239952967,0.282581268,0.239952967,0.599882419,0.239952967,0.439089828,0.239952967,0.282581268,0.239952967,0.282581268,0.239952967,0.599882419,0.239952967,0.439089828,0.239952967,0.282581268,0.239952967,0.282581268,0.239952967,0.599882419,0.239952967,0.439089828,0.239952967,0.282581268,0.239952967,0.282581268,0.239952967,0.19970847,0.19970847,0.19970847,0.199373923,37.73562074
692,0.900315057,2.307278417,2.258959411,0.653598706,3.456097435,2.147893542,0.509766976,1.151218628,3.188620095,0.46313292,0.92234381,1.861662537,7.724559373,7.724559373,0.1,0.599913519,0.239965407,0.439109528,0.239965407,0.282595918,0.239965407,0.282595918,0.239965407,0.599913519,0.239965407,0.439109528,0.239965407,0.282595918,0.239965407,0.282595918,0.239965407,0.599913519,0.239965407,0.439109528,0.239965407,0.282595918,0.239965407,0.282595918,0.239965407,0.599913519,0.239965407,0.439109528,0.239965407,0.282595918,0.239965407,0.282595918,0.239965407,0.199709482,0.199709482,0.199709482,0.199374933,37.74786915
693,0.910527354,2.35689962,2.258820911,0.633924212,3.275667402,2.148284792,0.548266771,1.267968507,3.188718845,0.480272365,0.946639493,1.861563037,7.727059373,7.727059373,0.1,0.599944619,0.239977847,0.439129228,0.239977847,0.282610568,0.239977847,0.282610568,0.239977847,0.599944619,0.239977847,0.439129228,0.239977847,0.282610568,0.239977847,0.282610568,0.239977847,0.599944619,0.239977847,0.439129228,0.239977847,0.282610568,0.239977847,0.282610568,0.239977847,0.599944619,0.239977847,0.439129228,0.239977847,0.282610568,0.239977847,0.282610568,0.239977847,0.199710493,0.199710493,0.199710493,0.199375942,37.79981542
694,0.859990997,2.486267827,2.258682411,0.588058555,3.331095391,2.148676042,0.570419198,1.33913361,3.188817595,0.521287231,1.011208347,1.861463537,7.729559373,7.729559373,0.1,0.599975719,0.239990287,0.439148928,0.239990287,0.282625218,0.239990287,0.282625218,0.239990287,0.599975719,0.239990287,0.439148928,0.239990287,0.282625218,0.239990287,0.282625218,0.239990287,0.599975719,0.239990287,0.439148928,0.239990287,0.282625218,0.239990287,0.282625218,0.239990287,0.599975719,0.239990287,0.439148928,0.239990287,0.282625218,0.239990287,0.282625218,0.239990287,0.199711505,0.199711505,0.199711505,0.199376951,37.77234993
695,0.785458495,2.468093259,2.258543911,0.548254837,3.769979735,2.149067292,0.575801168,1.292418066,3.188916345,0.563244084,1.040032282,1.861364037,7.732059373,7.732059373,0.1,0.600006819,0.240002727,0.439168628,0.240002727,0.282639868,0.240002727,0.282639868,0.240002727,0.600006819,0.240002727,0.439168628,0.240002727,0.282639868,0.240002727,0.282639868,0.240002727,0.600006819,0.240002727,0.439168628,0.240002727,0.282639868,0.240002727,0.282639868,0.240002727,0.600006819,0.240002727,0.439168628,0.240002727,0.282639868,0.240002727,0.282639868,0.240002727,0.199712516,0.199712516,0.199712516,0.199377961,37.71112176
696,0.742970482,2.287899579,2.258405411,0.516440331,4.344616151,2.149458542,0.593048344,1.184155678,3.189015095,0.598870537,0.973972722,1.861264537,7.734559373,7.734559373,0.1,0.600037919,0.240015167,0.439188328,0.240015167,0.282654518,0.240015167,0.282654518,0.240015167,0.600037919,0.240015167,0.439188328,0.240015167,0.282654518,0.240015167,0.282654518,0.240015167,0.600037919,0.240015167,0.439188328,0.240015167,0.282654518,0.240015167,0.282654518,0.240015167,0.600037919,0.240015167,0.439188328,0.240015167,0.282654518,0.240015167,0.282654518,0.240015167,0.199713527,0.199713527,0.199713527,0.19937897,37.69546211
697,0.711849818,2.183106901,2.258266911,0.485413445,4.631733207,2.149849792,0.613642209,1.114478252,3.189113845,0.600724827,0.814889243,1.861165037,7.737059373,7.737059373,0.1,0.600069019,0.240027607,0.439208028,0.240027607,0.282669168,0.240027607,0.282669168,0.240027607,0.600069019,0.240027607,0.439208028,0.240027607,0.282669168,0.240027607,0.282669168,0.240027607,0.600069019,0.240027607,0.439208028,0.240027607,0.282669168,0.240027607,0.282669168,0.240027607,0.600069019,0.240027607,0.439208028,0.240027607,0.282669168,0.240027607,0.282669168,0.240027607,0.199714539,0.199714539,0.199714539,0.199379979,37.66153194
698,0.696801135,2.237578973,2.258128411,0.459782668,4.904290964,2.150241042,0.634338126,1.107459033,3.189212595,0.588616344,0.755138883,1.861065537,7.739559373,7.739559373,0.1,0.600100119,0.240040047,0.439227728,0.240040047,0.282683818,0.240040047,0.282683818,0.240040047,0.600100119,0.240040047,0.439227728,0.240040047,0.282683818,0.240040047,0.282683818,0.240040047,0.600100119,0.240040047,0.439227728,0.240040047,0.282683818,0.240040047,0.282683818,0.240040047,0.600100119,0.240040047,0.439227728,0.240040047,0.282683818,0.240040047,0.282683818,0.240040047,0.19971555,0.19971555,0.19971555,0.199380988,37.63520914
